id,user_id,order_id,order_type,highlighted_at,notes,priority_level,tags,is_archived,title,description,ai_summary,category,state,signing_date,html_url,pdf_url,legiscan_url
149,1,2041212,state_legislation,,,1,,False,,,,,,,,,
151,1,eo-14334,executive_order,,,1,,False,,,,,,,,,
155,1,2042464,state_legislation,,,1,,False,,,,,,,,,
156,1,2042461,state_legislation,,,1,,False,,,,,,,,,
157,1,2042433,state_legislation,,,1,,False,,,,,,,,,
158,1,2042413,state_legislation,,,1,,False,,,,,,,,,
159,1,2042310,state_legislation,,,1,,False,,,,,,,,,
160,1,2042276,state_legislation,,,1,,False,,,,,,,,,
161,1,2042279,state_legislation,,,1,,False,,,,,,,,,
162,1,2042224,state_legislation,,,1,,False,,,,,,,,,
163,1,2042429,state_legislation,,,1,,False,,,,,,,,,
164,1,2042405,state_legislation,,,1,,False,,,,,,,,,
165,1,2042326,state_legislation,,,1,,False,,,,,,,,,
